year,start_date,num_days,users,uniq_id,s_no,experiments,equip,contact
2002,Mar 6,3,"John Barker, Man-Ho Kim",,,"Instrument Shakedown, Realignment",2-position heating stage (up to 200C),Barker
2002,Mar 9,2,Charlie Glinka,,,Aggregation of modified clay in polymer matrix,2-position heating stage (up to 200C),Barker
2002,Mar 11,3,Michael Agamalian,,,Residual stress in Si(220) single crystal,Special Environment,"Kim,Barker"
2002,Mar 14,2,Mu-Ping Nieh,,,Aggregation of Surfynol 480 surfactant,2-position heating stage (up to 200C),"Kim,Barker"
2002,Mar 16,22,,,,TBA,2-position heating stage (up to 200C),Barker
2002,Apr 6,2,,,,"Chilled water outage, reactor shut down",2-position heating stage (up to 200C),Barker
2002,Apr 8,8,,,,TBA,2-position heating stage (up to 200C),Barker
2002,May 2,3,Man-Ho Kim+John Barker,,,Instrument Testing,7-position sample changer (-10 to 100 deg C +/- 0.1 C),Kim
2002,May 5,2,John Barker+Man-Ho Kim,,,Agglomeration of Paint Pigment during Drying,7-position sample changer (-10 to 100 deg C +/- 0.1 C),Barker
2002,May 7,5,Charles Zukoski+Syed Ali Shah+Prashant,2987,U13-3,Microstructural changes during gel transitions,7-position sample changer (-10 to 100 deg C +/- 0.1 C),"Barker, Kim"
2002,May 12,4,Min Lin + Tom Mason,3297,,T-dependence of microgel/Used engine oil,7-position sample changer (-10 to 100 deg C +/- 0.1 C),Kim
2002,May 16,6,James Harden+David Semmons+Hasan Yardimci+Robert,3055,U13-6,Network Phases of Laponite,2-position heating stage (up to 200C),"Barker, Kim"
2002,May 22,6,,,,TBA,,Barker
2002,May 28,4,Surita Bhatia + Mark Crichton,2947,U13-1,Characterization of Novel Diblock Polymer Micelles,2-position heating stage (up to 200C),"Barker, Kim"
2002,Jun 1,2,,,,TBA,,Barker
2002,Jun 3,4,John Barker + Man- Ho Kim,,,SANS Summer School,2-position heating stage (up to 200C),Barker
2002,Jun 7,3,,,,TBA,,Barker
2002,Jun 20,1,Man-Ho Kim,,,Instrument testing,2-position heating stage (up to 200C),Kim
2002,Jun 21,5,"J. Harden, D. Sessons, R. Leheny",,,Network Phases of Laponite,2-position heating stage (up to 200C),"Kim,Barker"
2002,Jun 27,1,P. Thiyagarajan,,,Magnetic correlations in Ca(0.95)Ce(0.05)MnO2,2-position heating stage (up to 200C),Barker
2002,Jun 28,1,Derek Ho,,,"Organically modified clay in chloroform, large scale structure",2-position heating stage (up to 200C),Barker
2002,Jun 29,2,"J. Harden, D. Sessons, R. Leheny",,,Network Phases of Laponite,2-position heating stage (up to 200C),"Kim,Barker"
2002,Jul 1,2,"D Pugh, A. Dursun, S Corcoran",,,nanoporous metal structures produced by chemical dissolution,2-position heating stage (up to 200C),Barker
2002,Jul 3,2,John Barker,,,Kinetics polymer blend coarsening,2-position heating stage (up to 200C),Barker
2002,Jul 5,4,"D Pochan, T Deming, L Pakstis, A Nowak, B Pollizotti, R",3029,U13-05,Hydrogels constructed via Block Polypeptide Self- Assembly,2-position heating stage (up to 200C),"Kim, Barker"
2002,Jul 9,6,James Beattie + Gregory Warr,2993,U13-04,Droplet Size in concentrated Emulsions,2-position heating stage (up to 200C),"Kim,Barker"
2002,Jul 15,3,Howard Wang,,,Large scale structure of carbon Nanotubes,2-position heating stage (up to 200C),Barker
2002,Jul 18,1,John Barker,,,Polymer Blend demixing,2-position heating stage (up to 200C),Barker
2002,Jul 19,5,"D Pochan, T Deming, L Pakstis, A Nowak, B Pollizotti, R",3029,U13-05,Hydrogels constructed via Block Polypeptide Self- Assembly,2-position heating stage (up to 200C),"Kim, Barker"
2002,Jul 24,1,Operations,,,Reactor shutdown due to T. Storm,2-position heating stage (up to 200C),
2002,Jul 25,2,T Itakura + W Bertram + R Knott,3131,U13-07,Structure of Natural Clay Subjected to Compression,2-position heating stage (up to 200C),"Kim,Barker"
2002,Jul 27,2,"S. Shah, C. Zukoski",,,Depletion Colloids,2-position heating stage (up to 200C),"Kim,Barker"
2002,Aug 20,1,Man-Ho Kim,,,Instrument testing,2-position heating stage (up to 200C),Kim
2002,Aug 21,7,John Barker,,,Polymer Blend Demixing,2-position heating stage (up to 200C),Barker
2002,Aug 28,1,Man-Ho Kim,,,Parasitic Scattering from D2O,2-position heating stage (up to 200C),Kim
2002,Aug 29,4,B. Hammouda,,,Polyethylene polypropylene blends,2-position heating stage (up to 200C),Kim
2002,Sept 3,2,Man-Ho Kim,,,Instrument Background Measurements,2-position heating stage (up to 200C),Kim
2002,Sep 5,8,,,,TBA,2-position heating stage (up to 200C),Kim
2002,Sep 13,4,Belgin Baser,,,Lamellar bilayer spacing,2-position heating stage (up to 200C),Kim
2002,Sep 17,1,John Barker,,,Diffraction Grating Scattering,2-position heating stage (up to 200C),Barker
2002,Sep 18,5,"M. Rafailovich, M. Si, D. Peiffer, M. Lin",3689,,Interfacial properties of polymers with fillers,2-position heating stage (up to 200C),Kim
2002,Sep 23,3,"J. Barker, M. Kim",3285,,Measurement of 1.2 A Beam Component using Prisms,Superconducting Magnet (7 Tesla),Kim
2002,Sep 26,4,"J. Barker, M. Kim",,,Optimization of Soller Slit Configuration after Sample,2-position heating stage (up to 200C),Barker
2002,Oct 10,2,Man-Ho Kim,,,Instrument testing,2-position heating stage (up to 200C),Kim
2002,Oct 12,3,C. Glinka,,,Clay Water Suspensions,2-position heating stage (up to 200C),Barker
2002,Oct 15,2,J. Barker,,,Instrument Background Tests,2-position heating stage (up to 200C),Barker
2002,Oct 17,8,C. Glinka,,,Clay Water Suspensions,2-position heating stage (up to 200C),Barker
